Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-08-14,232.123291015625,-0.23572346327241922,0.23572346327241922,0.5241004294460394,93.08683592394928,0.8169328640879783,5.914729645569605,Down,51916300.0,Thursday,<1%,75-100%,0.8-1.2x,August,0.5241004294460394,0.5808488896766695,0.90230081999086,0.5 to 1%
AAPL,2025-08-15,230.9366455078125,-0.5112134601489071,0.5112134601489071,0.04750184043436079,89.57115357518586,0.8769273405653871,1.091268906941667,Down,56038700.0,Friday,<1%,75-100%,0.8-1.2x,August,0.04750184043436079,0.5614414203490192,0.08460693976734267,0 to 0.5%
AAPL,2025-08-18,230.23863220214844,-0.3022531587090427,0.3022531587090427,0.16891125759384007,87.50314502354274,0.5928989512629728,1.6330687720566006,Down,37476200.0,Monday,<1%,75-100%,<0.8x,August,0.16891125759384007,0.5543559435357359,0.3046981989883751,0 to 0.5%
AAPL,2025-08-19,229.90956115722656,-0.14292607707683258,0.14292607707683258,-0.2515637363305623,86.52820410268285,0.6268476567188743,0.39625841965851283,Down,39402600.0,Tuesday,<1%,75-100%,<0.8x,August,0.2515637363305623,0.5529413578717451,0.4549555441083728,-0.5 to 0%
AAPL,2025-08-20,225.3723907470703,-1.9734587754066668,1.9734587754066668,0.1150487728480254,73.08589987677883,0.6749042849353498,-3.1371931017440846,Down,42263900.0,Wednesday,1-2%,50-75%,<0.8x,August,0.1150487728480254,0.5528567671700462,0.2080986969499082,0 to 0.5%
AAPL,2025-08-21,224.26553344726562,-0.49112373353970007,0.49112373353970007,0.5646957348603987,69.80660656980233,0.4950721476324248,-3.3851655014793147,Down,30621200.0,Thursday,<1%,50-75%,<0.8x,August,0.5646957348603987,0.5591045521345589,1.0100002454004242,0.5 to 1%
AAPL,2025-08-22,227.11746215820312,1.2716749948596506,1.2716749948596506,-0.562000777783922,78.25603427417013,0.6855410563608327,-1.6537796940850447,Up,42477800.0,Friday,1-2%,75-100%,<0.8x,August,0.562000777783922,0.5836973694736752,0.962829039799653,-1 to -0.5%
AAPL,2025-08-25,226.51914978027344,-0.26343741790885167,0.26343741790885167,-0.12766370453889397,76.4834103083055,0.502819760884277,-1.6154901487641316,Down,30983100.0,Monday,<1%,75-100%,<0.8x,August,0.12766370453889397,0.5870444558957716,0.21746854647335326,-0.5 to 0%
AAPL,2025-08-26,228.6630859375,0.9464701590599311,0.9464701590599311,-0.30526119147750164,82.8352638780643,0.8834228733181205,-0.5421589313000075,Up,54575100.0,Tuesday,<1%,75-100%,0.8-1.2x,August,0.30526119147750164,0.5873978963123117,0.5196838350868017,-0.5 to 0%
AAPL,2025-08-27,229.8397674560547,0.5145918125483151,0.5145918125483151,0.1431787035868215,86.32142585117523,0.5119118855526198,1.982220046641836,Up,31259500.0,Wednesday,<1%,75-100%,<0.8x,August,0.1431787035868215,0.5811624979031477,0.24636604065715648,0 to 0.5%
